,cty_fips,czone,shnr_pres2000,shnr_pres2008,shnr_pres2016,totvote_2000pres,d_imp_usch_pd_0008,d_imp_otch_lag_pd_0008,l_shind_manuf_cbp,l_sh_routine33,l_task_outsource,shnr_pres1992,shnr_pres1996,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_sh_pop_f,l_sh_pop_edu_c,l_sh_fborn,l_sh_pop_age_1019,l_sh_pop_age_2029,l_sh_pop_age_3039,l_sh_pop_age_4049,l_sh_pop_age_5059,l_sh_pop_age_6069,l_sh_pop_age_7079,l_sh_pop_age_8000,l_sh_pop_white,l_sh_pop_black,l_sh_pop_asian,l_sh_pop_hispanic
2456,20063.0,28604.0,79.12493,81.31344,88.444305,1495.0,0.07572722733134185,0.07361595207250815,0.03797007,2438.2764,-1.1859479,67.628204,76.18366,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5123859,0.49292454,0.0045632333,0.15514994,0.0648631,0.106584094,0.14960887,0.11408083,0.10853977,0.097457625,0.07170796,0.9794654,0.0009778357,0.0009778357,0.012385919
2457,20109.0,28604.0,82.48252,84.060776,88.368645,1397.0,0.07572722733134185,0.07361595207250815,0.03797007,2438.2764,-1.1859479,71.82583,79.59914,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.516415,0.48007774,0.0059093894,0.15331583,0.09487853,0.113263294,0.15233092,0.10242941,0.092252135,0.10407091,0.060078792,0.96717006,0.0059093894,0.0019697964,0.01641497
2458,20181.0,28605.0,73.55484,74.01165,85.76024,2682.0,0.012254376985538329,0.028541696750266965,0.038740564,2438.2764,-1.1859479,66.80548,74.13588,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4889053,0.50706184,0.01760355,0.17056213,0.119526625,0.115236685,0.14112426,0.11065089,0.08786982,0.078698225,0.051183432,0.9383136,0.003550296,0.0019230769,0.084467456
2459,31057.0,28606.0,81.730965,78.22458,90.24033,1011.0,0.11155584742306246,1.2418671460068254e-06,0.027384048,2473.1438,-1.083561,73.049355,77.044556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5078534,0.5147239,0.019197207,0.14267015,0.07766143,0.10863874,0.16666667,0.12347295,0.08856893,0.09991274,0.07766143,0.969459,0.00043630018,0.0047993017,0.03228621
2460,31087.0,28607.0,78.303825,74.31409,88.43925,1480.0,0.6792305615908703,0.4295959084626162,0.11588809,2521.5764,-0.9413391,69.65174,70.48902,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.51269686,0.4798165,0.011571842,0.15750563,0.07103825,0.10961106,0.15139827,0.1243973,0.11250402,0.09803922,0.07039537,0.9836066,0.00096432015,0.0012857602,0.014143363
2461,31145.0,28607.0,75.59616,75.43806,86.840996,5025.0,0.6792305615908703,0.4295959084626162,0.11588809,2521.5764,-0.9413391,68.19176,69.509735,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5157232,0.529506,0.0117051015,0.15321453,0.10412299,0.11512928,0.15312718,0.1048218,0.096872814,0.08726415,0.055904962,0.9754542,0.001572327,0.0016596785,0.024545772
2462,31029.0,28607.0,83.10384,81.24556,90.598915,1875.0,0.6792305615908703,0.4295959084626162,0.11588809,2521.5764,-0.9413391,71.52861,77.769,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5086037,0.46829093,0.013765979,0.15683383,0.08480826,0.112094395,0.1600295,0.11553589,0.092920355,0.092428714,0.070058994,0.97812194,0.0017207473,0.0017207473,0.034169126
2463,31061.0,28608.0,74.00909,70.93878,84.347824,1668.0,0.7957264116167444,0.6842824916741499,0.19856483,2733.4067,-0.60629404,67.018654,67.71048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5187465,0.4642716,0.0058757695,0.14241746,0.06827085,0.12255176,0.14493565,0.10604365,0.11163962,0.10268606,0.08198097,0.99244547,0.0,0.0005595971,0.0064353663
2464,31019.0,28608.0,75.23355,69.060936,75.36343,16461.0,0.7957264116167444,0.6842824916741499,0.19856483,2733.4067,-0.60629404,72.1902,70.0533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5103055,0.62530506,0.025958966,0.17047256,0.19652618,0.12437587,0.13724887,0.09370785,0.057265908,0.049953856,0.037601456,0.9517736,0.0054899547,0.00683878,0.04661729
2465,31099.0,28608.0,77.43239,71.74068,82.14591,3122.0,0.7957264116167444,0.6842824916741499,0.19856483,2733.4067,-0.60629404,73.13819,71.4031,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5040686,0.53047454,0.016129032,0.15460622,0.09924441,0.13295554,0.15722173,0.11537344,0.08020924,0.072072074,0.05419936,0.978204,0.0015983726,0.0023249055,0.023394363
